Title,Author,Year,Citation count,Open access,Funder,Institution,Countries count,Keyword
The antimicrobial peptide SAAP-148 combats drug-resistant bacteria and biofilms,Anna de Breij|Martijn Riool|Robert A. Cordfunke|Nermina Malanović|Leonie de Boer|Roman I. Koning|E. Ravensbergen|Marnix Franken|Tobias van der Heijde|Bouke K. H. L. Boekema|Paulus H. S. Kwakman|Niels Kamp|A. El Ghalbzouri|Karl Lohner|Sebastian A. J. Zaat|Jan W. Drijfhout|Peter H. Nibbering,2018,536,NOT Open Access,,Leiden University Medical Center|Amsterdam UMC Location University of Amsterdam|Amsterdam University Medical Centers|Institute of Infection and Immunity|BioTechMed-Graz|Leiden University|Association of Dutch Burn Centres|University of Amsterdam,3,Antimicrobial|Antibiotics|Peptide|Bacteria|Microbiology|Biofilm|Drug|Antimicrobial peptides|Refractory (planetary science)|Medicine|Chemistry|Pharmacology|Biology|Biochemistry
"Antimicrobial peptides: mechanism of action, activity and clinical potential",Qiyu Zhang|Zhibin Yan|Yueming Meng|Xiangyu Hong|Gang Shao|Junjie Ma|Xurui Cheng|Jun Liu|Jian Kang|Caiyun Fu,2021,1016,Open Access,National Natural Science Foundation of China,"Zhejiang Sci-Tech University||University of California, San Francisco|The University of Melbourne|Peter MacCallum Cancer Centre",3,Medicine|Antimicrobial|Mechanism (biology)|Mechanism of action|Antimicrobial peptides|Pharmacology|Action (physics)|Traditional medicine|Neuroscience|Microbiology|Biochemistry|In vitro|Biology
"Bacteriocins, Antimicrobial Peptides from Bacterial Origin: Overview of Their Biology and Their Impact against Multidrug-Resistant Bacteria",Alexis Simons|Kamel Alhanout|Raphaël E. Duval,2020,528,Open Access,,"Centre National de la Recherche Scientifique|AgroParisTech|Université Paris-Saclay|Microbiologie de l’alimentation au service de la santé|Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement|Laboratoire Lorrain de Chimie Moléculaire|Université de Lorraine|Délégation Centre-Est",1,Bacteriocin|Antimicrobial|Bacteria|Antimicrobial peptides|Biology|Antibiotic resistance|Microbiology|Multiple drug resistance|Gram-negative bacteria|Antibiotics|Escherichia coli|Biochemistry|Genetics
"Antimicrobial Peptides: Diversity, Mechanism of Action and Strategies to Improve the Activity and Biocompatibility In Vivo",Prashant Kumar|Jayachandran N. Kizhakkedathu|Suzana K. Straus,2018,1205,Open Access,California HIV/AIDS Research Program|Canada Foundation for Innovation|Canadian Institutes of Health Research|Natural Sciences and Engineering Research Council of Canada|British Columbia Knowledge Development Fund,University of British Columbia,1,Antimicrobial peptides|Antimicrobial|Biocompatibility|Drug delivery|Human health|Pharmacology|Chemistry|Medicine|Biology|Nanotechnology|Microbiology|Materials science
Emerging Strategies to Combat ESKAPE Pathogens in the Era of Antimicrobial Resistance: A Review,Mansura S. Mulani|Ekta E. Kamble|Shital N. Kumkar|Madhumita S. Tawre|Karishma R. Pardesi,2019,1613,Open Access,"Department of Science and Technology, Ministry of Science and Technology, India",Savitribai Phule Pune University,1,Acinetobacter baumannii|Antimicrobial|Enterococcus faecium|Pseudomonas aeruginosa|Antibiotic resistance|Microbiology|Antibiotics|Phage therapy|Medicine|Multiple drug resistance|Klebsiella pneumoniae|Staphylococcus aureus|Biology|Bacteria|Escherichia coli|Bacteriophage
Antimicrobial peptides as potential anti-biofilm agents against multidrug-resistant bacteria,Pooi Yin Chung|Ramona Khanum,2017,295,Open Access,,International Medical University,1,Biofilm|Antimicrobial|Antimicrobial peptides|Microbiology|Biology|Antibiotics|Antibiotic resistance|Multiple drug resistance|Innate immune system|Pathogen|Virulence|Bacteria|Human pathogen|Immunity|Drug resistance|Immune system|Immunology
Self‐Assembly of Antimicrobial Peptides on Gold Nanodots: Against Multidrug‐Resistant Bacteria and Wound‐Healing Application,Wei‐Yu Chen|Hsiang‐Yu Chang|Hsiang‐Yu Chang|Jenn‐Kan Lu|Yi‐Cheng Huang|Scott G. Harroun|Yu‐Ting Tseng|Yujia Li|Chih‐Ching Huang|Huan‐Tsung Chang|Huan‐Tsung Chang,2015,295,NOT Open Access,"Ministry of Science and Technology, Taiwan",National Taiwan University|National Taiwan Ocean University|Kaohsiung Medical University,1,Antimicrobial|Materials science|Nanodot|Biocompatibility|Wound healing|In vivo|Antimicrobial peptides|Nanotechnology|Biophysics|Microbiology|Biology|Immunology
Antimicrobial peptides under clinical investigation,Hye Been Koo|Jiwon Seo,2019,372,NOT Open Access,National Research Foundation of Korea,Gwangju Institute of Science and Technology,1,Antimicrobial peptides|Antimicrobial|Antibiotics|Antibiotic resistance|Clinical trial|Medicine|Intensive care medicine|Drug resistance|Pace|Microbiology|Biology|Pathology
Antimicrobial Peptides: A New Hope in Biomedical and Pharmaceutical Fields,Antonio Moretta|Carmen Scieuzo|Anna Maria Petrone|Rosanna Salvia|Michele Dario Manniello|Antonio Franco|Donatella Lucchetti|Antonio Vassallo|Heiko Vogel|Alessandro Sgambato|Patrizia Falabella,2021,474,Open Access,"Ministero dell’Istruzione, dell’Università e della Ricerca|European Regional Development Fund",University of Basilicata|Università Cattolica del Sacro Cuore|Max Planck Institute for Chemical Ecology|Centro di Riferimento Oncologico della Basilicata|Istituti di Ricovero e Cura a Carattere Scientifico,2,Antimicrobial peptides|Antibiotics|Antimicrobial|Biology|Antibiotic resistance|Pathogenic bacteria|Drug|Bacteria|Drug development|Microbiology|Biotechnology|Pharmacology
Insect antimicrobial peptides: potential weapons to counteract the antibiotic resistance,Michele Dario Manniello|Antonio Moretta|Rosanna Salvia|Carmen Scieuzo|Donatella Lucchetti|Heiko Vogel|Alessandro Sgambato|Patrizia Falabella,2021,250,Open Access,"Ministero dell’Istruzione, dell’Università e della Ricerca|Università degli Studi della Basilicata",University of Basilicata|Università Cattolica del Sacro Cuore|Max Planck Institute for Chemical Ecology|Centro di Riferimento Oncologico della Basilicata,2,Antimicrobial peptides|Biology|Antibiotics|Antimicrobial|Antibiotic resistance|Immune system|Insect|Microbiology|Innate immune system|Computational biology|Genetics|Ecology
