,APC Microbiome Institute,Affiliated Hospital of Southwest Medical University,AgroParisTech,Amsterdam UMC Location University of Amsterdam,Amsterdam University Medical Centers,Association of Dutch Burn Centres,BioTechMed-Graz,Cappadocia University,Centre National de la Recherche Scientifique,Centre for Plant Biotechnology and Genomics,Centro di Riferimento Oncologico della Basilicata,Chengdu Center for Disease Control and Prevention,China Agricultural University,Cooperativa de Ensino Superior Politécnico e Universitário,Délégation Centre-Est,Erciyes University,European Molecular Biology Laboratory,Freie Universität Berlin,Fudan University,Fujita Health University Hospital,Gwangju Institute of Science and Technology,HUN-REN Szegedi Biológiai Kutatóközpont,Hungarian Academy of Sciences,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",Institute of Biochemistry,Institute of Biophysics,Institute of Chemistry of Silicates named after I.V. Grebenshchikov,Institute of Cytology,Institute of Experimental Medicine,Institute of Infection and Immunity,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,International Medical University,Istituti di Ricovero e Cura a Carattere Scientifico,Kaohsiung Medical University,Laboratoire Lorrain de Chimie Moléculaire,Leiden University,Leiden University Medical Center,Manipal Academy of Higher Education,Max Delbrück Center,Max Planck Institute for Chemical Ecology,Microbiologie de l’alimentation au service de la santé,Nankai University,National Taiwan Ocean University,National Taiwan University,North-West University,Norwegian University of Life Sciences,Peter MacCallum Cancer Centre,Queensland University of Technology,Saint Petersburg Academic University,Savitribai Phule Pune University,SeqOmics Biotechnology (Hungary),Shanghai Center for Brain Science and Brain-Inspired Technology,Shanghai Institute for Science of Science,Sichuan Academy of Traditional Chinese Medicine,Sichuan Center for Disease Control and Prevention,Sichuan University,Southwest Medical University,State Key Laboratory of Biotherapy,Sun Yat-sen University,Technion – Israel Institute of Technology,"The First Affiliated Hospital, Sun Yat-sen University",The University of Melbourne,Translational Research Institute,Translational Therapeutics (United States),Universidad Politécnica de Madrid,Universidade Federal de São Carlos,Universitat de Barcelona,University College Cork,University of Amsterdam,University of Basilicata,University of British Columbia,"University of California, San Francisco",University of Nigeria,University of Oslo,University of Pennsylvania,University of Pittsburgh,University of Szeged,University of Würzburg,Università Cattolica del Sacro Cuore,Université Paris-Saclay,Université de Lorraine,Zhejiang Sci-Tech University,Zhongshan Hospital
APC Microbiome Institute,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Affiliated Hospital of Southwest Medical University,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgroParisTech,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Amsterdam UMC Location University of Amsterdam,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amsterdam University Medical Centers,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Association of Dutch Burn Centres,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BioTechMed-Graz,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cappadocia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre National de la Recherche Scientifique,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Centre for Plant Biotechnology and Genomics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Centro di Riferimento Oncologico della Basilicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
Chengdu Center for Disease Control and Prevention,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China Agricultural University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooperativa de Ensino Superior Politécnico e Universitário,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Délégation Centre-Est,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
