Institution,Documents,Collaborations
APC Microbiome Institute,1,18
Affiliated Hospital of Southwest Medical University,1,7
AgroParisTech,1,7
Amsterdam UMC Location University of Amsterdam,1,7
Amsterdam University Medical Centers,1,7
Association of Dutch Burn Centres,1,7
BioTechMed-Graz,1,7
Cappadocia University,1,1
Centre National de la Recherche Scientifique,1,7
Centre for Plant Biotechnology and Genomics,1,18
Centro di Riferimento Oncologico della Basilicata,2,7
Chengdu Center for Disease Control and Prevention,1,7
China Agricultural University,1,0
Cooperativa de Ensino Superior Politécnico e Universitário,1,1
Délégation Centre-Est,1,7
Erciyes University,1,1
European Molecular Biology Laboratory,1,18
Freie Universität Berlin,1,0
Fudan University,1,18
Fujita Health University Hospital,1,1
Gwangju Institute of Science and Technology,1,0
HUN-REN Szegedi Biológiai Kutatóközpont,1,6
Hungarian Academy of Sciences,1,6
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",1,7
Institute of Biochemistry,1,6
Institute of Biophysics,1,6
Institute of Chemistry of Silicates named after I.V. Grebenshchikov,1,3
Institute of Cytology,1,3
Institute of Experimental Medicine,1,3
Institute of Infection and Immunity,1,7
Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,1,18
International Medical University,1,0
Istituti di Ricovero e Cura a Carattere Scientifico,1,4
Kaohsiung Medical University,1,2
Laboratoire Lorrain de Chimie Moléculaire,1,7
Leiden University,1,7
Leiden University Medical Center,1,7
Manipal Academy of Higher Education,1,0
Max Delbrück Center,1,18
Max Planck Institute for Chemical Ecology,2,7
Microbiologie de l’alimentation au service de la santé,1,7
Nankai University,1,7
National Taiwan Ocean University,1,2
National Taiwan University,1,2
North-West University,1,0
Norwegian University of Life Sciences,1,1
Peter MacCallum Cancer Centre,1,3
Queensland University of Technology,1,18
Saint Petersburg Academic University,1,3
Savitribai Phule Pune University,1,0
SeqOmics Biotechnology (Hungary),1,6
Shanghai Center for Brain Science and Brain-Inspired Technology,1,18
Shanghai Institute for Science of Science,1,18
Sichuan Academy of Traditional Chinese Medicine,1,7
Sichuan Center for Disease Control and Prevention,1,7
Sichuan University,1,7
Southwest Medical University,1,7
State Key Laboratory of Biotherapy,1,7
Sun Yat-sen University,1,18
Technion – Israel Institute of Technology,1,6
"The First Affiliated Hospital, Sun Yat-sen University",1,18
The University of Melbourne,1,3
Translational Research Institute,1,18
Translational Therapeutics (United States),1,18
Universidad Politécnica de Madrid,1,18
Universidade Federal de São Carlos,1,18
Universitat de Barcelona,1,1
University College Cork,1,18
University of Amsterdam,1,7
University of Basilicata,2,7
University of British Columbia,2,0
"University of California, San Francisco",1,3
University of Nigeria,1,0
University of Oslo,1,1
University of Pennsylvania,1,18
University of Pittsburgh,2,1
University of Szeged,1,6
University of Würzburg,1,18
Università Cattolica del Sacro Cuore,2,7
Université Paris-Saclay,1,7
Université de Lorraine,1,7
Zhejiang Sci-Tech University,1,3
Zhongshan Hospital,1,18
